"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart33112","Trade payables - short term - FA","33112","liability_payable","True","","l10n_vn.investing_purchase_FA"
"chart3312","Trade payables - long term","3312","liability_payable","True","Phải trả cho người bán - dài hạn","l10n_vn.operating_trade_payable"
"chart33121","Trade payables - long term","33121","liability_payable","True","Phải trả cho người bán - dài hạn","l10n_vn.operating_trade_payable"
"chart33122","Trade payables - long term - FA","33122","liability_payable","True","","l10n_vn.investing_purchase_FA"
"chart332","Dividend payable","332","liability_payable","True","Phải trả cổ tức, lợi nhuận","l10n_vn.finance_dividend"
"chart33311","Output VAT","33311","liability_current","False","Thuế GTGT đầu ra","l10n_vn.operating_trade_payable"
"chart33312","VAT on imported goods","33312","liability_payable","True","Thuế GTGT hàng nhập khẩu","l10n_vn.operating_trade_payable"
"chart33321","Special consumption tax- short term","33321","liability_current","False","Thuế tiêu thụ đặc biệt - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33322","Special consumption tax - long term","33322","liability_current","False","Thuế tiêu thụ đặc biệt - dài hạn","l10n_vn.operating_trade_payable"
"chart33331","Import & export tax - short term","33331","liability_current","False","Thuế xuất, nhập khẩu - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33332","Import & export tax - long term","33332","liability_current","False","Thuế xuất, nhập khẩu - dài hạn","l10n_vn.operating_trade_payable"
"chart33341","Corporate income tax - short term","33341","liability_current","False","Thuế thu nhập doanh nghiệp - ngắn hạn","l10n_vn.operating_paid_CIT"
"chart33342","Corporate income tax - long term","33342","liability_current","False","Thuế thu nhập doanh nghiệp - dài hạn","l10n_vn.operating_paid_CIT"
"chart33351","Personal income tax - short term","33351","liability_current","False","Thuế thu nhập cá nhân - ngắn hạn","l10n_vn.operating_trade_payable"
"chart33352","Personal income tax - long term","33352","liability_current","False","Thuế thu nhập cá nhân - dài hạn","l10n_vn.operating_trade_payable"
"chart33361","Natural resources using tax - short term","33361","liability_current","False","Thuế tài nguyên - ngắn hạn","l10n_vn.operating_trade_payable"
