code,id,stripe_name,name
7361,employment_temp_agencies,employment_temp_agencies,Employment Temp Agencies
7372,computer_programming,computer_programming,Computer Programming
7375,information_retrieval_services,information_retrieval_services,Information Retrieval Services
7379,computer_repair,computer_repair,Computer Repair
7392,consulting_public_relations,consulting_public_relations,Consulting Public Relations
7393,detective_agencies,detective_agencies,Detective Agencies
7394,equipment_rental,equipment_rental,Equipment Rental
7395,photo_developing,photo_developing,Photo Developing
7399,miscellaneous_business_services,miscellaneous_business_services,Miscellaneous Business Services
7513,truck_utility_trailer_rentals,truck_utility_trailer_rentals,Truck Utility Trailer Rentals
7519,recreational_vehicle_rentals,recreational_vehicle_rentals,Recreational Vehicle Rentals
7523,parking_lots_garages,parking_lots_garages,Parking Lots Garages
7531,auto_body_repair_shops,auto_body_repair_shops,Auto Body Repair Shops
7534,tire_retreading_and_repair,tire_retreading_and_repair,Tire Retreading and Repair
7535,auto_paint_shops,auto_paint_shops,Auto Paint Shops
7538,auto_service_shops,auto_service_shops,Auto Service Shops
7549,towing_services,towing_services,Towing Services
7622,electronics_repair_shops,electronics_repair_shops,Electronics Repair Shops
7623,ac_refrigeration_repair,ac_refrigeration_repair,AC Refrigeration Repair
7629,small_appliance_repair,small_appliance_repair,Small Appliance Repair
7631,watch_jewelry_repair,watch_jewelry_repair,Watch Jewelry Repair
7641,furniture_repairs_refinishing,furniture_repairs_refinishing,Furniture Repairs Refinishing
7692,welding_repair,welding_repair,Welding Repair
7800,government_owned_lotteries_us_region_only,government_owned_lotteries_us_region_only,Government Owned Lotteries US Region Only
7801,government_licensed_online_casinos_online_gambling_us_region_only,government_licensed_online_casinos_online_gambling_us_region_only,Government Licensed Online Casinos Online Gambling US Region Only
7802,government_licensed_horse_dog_racing_us_region_only,government_licensed_horse_dog_racing_us_region_only,Government Licensed Horse Dog Racing US Region Only
7829,picture_video_production,picture_video_production,Picture Video Production
7832,motion_picture_theaters_cinema,motion_picture_theaters_cinema,Motion Picture Theaters Cinema
7841,video_tape_rental_stores,video_tape_rental_stores,Video Tape Rental Stores
7911,dance_hall_studios_schools,dance_hall_studios_schools,Dance Hall Studios Schools
7922,theatrical_ticket_agencies,theatrical_ticket_agencies,Theatrical Ticket Agencies
7929,bands_orchestras,bands_orchestras,Bands Orchestras
7932,billiard_pool_establishments,billiard_pool_establishments,Billiard Pool Establishments
7933,bowling_alleys,bowling_alleys,Bowling Alleys
7941,sports_clubs_fields,sports_clubs_fields,Sports Clubs Fields
7991,tourist_attractions_and_exhibits,tourist_attractions_and_exhibits,Tourist Attractions and Exhibits
7992,golf_courses_public,golf_courses_public,Golf Courses Public
7993,video_amusement_game_supplies,video_amusement_game_supplies,Video Amusement Game Supplies
7994,video_game_arcades,video_game_arcades,Video Game Arcades
7995,betting_casino_gambling,betting_casino_gambling,Betting Casino Gambling
7996,amusement_parks_carnivals,amusement_parks_carnivals,Amusement Parks Carnivals
7997,country_clubs,country_clubs,Country Clubs
7998,aquariums,aquariums,Aquariums
7999,miscellaneous_recreation_services,miscellaneous_recreation_services,Miscellaneous Recreation Services
8011,doctors,doctors,Doctors
8021,dentists_orthodontists,dentists_orthodontists,Dentists Orthodontists
8031,osteopaths,osteopaths,Osteopaths
8041,chiropractors,chiropractors,Chiropractors
8042,optometrists_ophthalmologist,optometrists_ophthalmologist,Optometrists Ophthalmologist
8043,opticians_eyeglasses,opticians_eyeglasses,Opticians Eyeglasses
8049,chiropodists_podiatrists,chiropodists_podiatrists,Chiropodists Podiatrists
8050,nursing_personal_care,nursing_personal_care,Nursing Personal Care
8062,hospitals,hospitals,Hospitals
8071,medical_and_dental_labs,medical_and_dental_labs,Medical and Dental Labs
8099,medical_services,medical_services,Medical Services
8111,legal_services_attorneys,legal_services_attorneys,Legal Services Attorneys
8211,elementary_secondary_schools,elementary_secondary_schools,Elementary Secondary Schools
8220,colleges_universities,colleges_universities,Colleges Universities
8241,correspondence_schools,correspondence_schools,Correspondence Schools
8244,business_secretarial_schools,business_secretarial_schools,Business Secretarial Schools
8249,vocational_trade_schools,vocational_trade_schools,Vocational Trade Schools
8299,educational_services,educational_services,Educational Services
8351,child_care_services,child_care_services,Child Care Services
8398,charitable_and_social_service_organizations_fundraising,charitable_and_social_service_organizations_fundraising,Charitable and Social Service Organizations Fundraising
8641,civic_social_fraternal_associations,civic_social_fraternal_associations,Civic Social Fraternal Associations
8651,political_organizations,political_organizations,Political Organizations
8661,religious_organizations,religious_organizations,Religious Organizations
8675,automobile_associations,automobile_associations,Automobile Associations
8699,membership_organizations,membership_organizations,Membership Organizations
8734,testing_laboratories,testing_laboratories,Testing Laboratories
8911,architectural_surveying_services,architectural_surveying_services,Architectural Surveying Services
8931,accounting_bookkeeping_services,accounting_bookkeeping_services,Accounting Bookkeeping Services
8999,professional_services,professional_services,Professional Services
9211,court_costs,court_costs,Court Costs
9222,fines_government_administrative_entities,fines_government_administrative_entities,Fines Government Administrative Entities
9223,bail_and_bond_payments,bail_and_bond_payments,Bail and Bond Payments
9311,tax_payments_government_agencies,tax_payments_government_agencies,Tax Payments Government Agencies
9399,government_services,government_services,Government Services
9402,postal_services_government_only,postal_services_government_only,Postal Services Government Only
9405,u_s_federal_government_agencies_or_departments,u_s_federal_government_agencies_or_departments,U S Federal Government Agencies or Departments
9406,government_owned_lotteries_non_us_region,government_owned_lotteries_non_us_region,Government Owned Lotteries Non US Region
9702,emergency_services_gcas_visa_use_only,emergency_services_gcas_visa_use_only,Emergency Services GCAS Visa Use Only
9950,intra_company_purchases,intra_company_purchases,Intra Company Purchases
